date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:21:53	5010/5010	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20May%202021%2015:21:50%20GMT	https://surprise4u.me/robots.txt		(from )
07:21:54	20818/20818	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20May%202021%2015:21:51%20GMT	https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm	C:/My%20Web%20Sites/Eid%20ul%20fitr/surprise4u.me/786/indexddc0.html	(from )
07:21:54	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20May%202021%2015:21:51%20GMT	https://surprise4u.me/786/img3/ogf.jpg	C:/My%20Web%20Sites/Eid%20ul%20fitr/surprise4u.me/786/img3/ogf.jpg	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
07:21:55	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20May%202021%2015:21:52%20GMT	http://surprise4u.me/786/	C:/My%20Web%20Sites/Eid%20ul%20fitr/surprise4u.me/786/index.html	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
07:21:55	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	C:/My%20Web%20Sites/Eid%20ul%20fitr/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
07:21:56	8111/8111	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260748e53-1faf%22	https://surprise4u.me/786/slide.js	C:/My%20Web%20Sites/Eid%20ul%20fitr/surprise4u.me/786/slide.js	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
07:21:56	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/Eid%20ul%20fitr/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
07:21:56	1320/1320	---M--	200	added ('OK')	image/gif	etag:%225e0a6ccc-528%22	https://surprise4u.me/786/img3/sname1.gif	C:/My%20Web%20Sites/Eid%20ul%20fitr/surprise4u.me/786/img3/sname1.gif	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
07:21:56	7021/7021	---M--	200	added ('OK')	image/jpeg	etag:%2260250417-1b6d%22	https://surprise4u.me/786/left.jpg	C:/My%20Web%20Sites/Eid%20ul%20fitr/surprise4u.me/786/left.jpg	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
07:21:56	6470/6470	---M--	200	added ('OK')	image/jpeg	etag:%2260250426-1946%22	https://surprise4u.me/786/right.jpg	C:/My%20Web%20Sites/Eid%20ul%20fitr/surprise4u.me/786/right.jpg	(from https://surprise4u.me/786/?n=-Mizanur-rahman&t=fm)
